stock1,stock2,pvalue_1on2,hr_1on2,pvalue_2on1,hr_2on1,pvalue_1on2_adj,pvalue_2on1_adj,cointegrated
2382.TW,3008.TW,0.00017066979659569707,0.03702440992093892,0.5941532274138893,17.359802295594797,0.025941809082545956,0.7916406808892713,False
2382.TW,3017.TW,0.1879048209565211,0.03789820992302806,0.20057248191565236,15.277687883272048,0.5854110184833432,0.5928883537888023,False
2382.TW,3034.TW,0.1075508897211237,0.3118707830359144,0.17668925795935603,0.7076314204228102,0.5108667261753376,0.5755021544961881,False
2382.TW,3036.TW,0.020140161830521836,0.43247321505926284,0.03316813528329292,1.1575723765082317,0.27140746916804165,0.3387829266712026,False
2382.TW,3037.TW,0.0013831220464817057,0.08324883383738439,0.017973754345009207,8.141864028055167,0.06792193188260931,0.25727454649896586,False
2382.TW,3044.TW,0.0002244682479712187,0.3202509096646748,0.040837805113246674,2.133901949405024,0.028660105900965203,0.35713499704515994,False
2382.TW,3081.TWO,0.046619833218928985,0.028440481192383467,0.16281755342099247,19.967527826565338,0.3801065534453306,0.5669379485449833,False
2382.TW,3105.TWO,0.04777630117775915,0.13894377888233628,0.25938838818525883,4.131854505736948,0.38317073708393773,0.628410955408749,False
2382.TW,3189.TW,9.011767111512741e-05,0.13036344031677044,0.0035051189789747222,5.683550475438158,0.02212735432303744,0.11659536267833182,False
2382.TW,3231.TW,0.6160554894956793,1.5737074248182727,0.21004422594948702,0.3424600219538623,0.8030745864299375,0.6002338130982655,False
2382.TW,3443.TW,0.0011783634024251954,0.019181523430391575,0.0679759730013151,32.168091738863964,0.062433317557080995,0.441742279505399,False
2382.TW,3481.TW,0.00020738199318758895,1.8813217631845223,0.005823208050679812,0.3701445343012495,0.02767777007254692,0.154897334148083,False
2382.TW,3533.TW,0.19607456329582335,0.04779390007389127,0.15308057067272646,11.477244076397836,0.5885773573387804,0.5668107069759519,False
2382.TW,3653.TW,0.5943927641803659,0.019275302392474315,0.14733096648506316,19.241770147340567,0.7916406808892713,0.5638729948376409,False
2382.TW,3661.TW,0.5480115375203577,0.030494567000136905,0.14466553264033832,8.7784154331956,0.7774851657583627,0.5638729948376409,False
2382.TW,3665.TW,0.5929404321883627,0.04068953948305171,0.43867340728312376,12.054461089000284,0.7916406808892713,0.7322634660357938,False
2382.TW,3711.TW,0.0022152477347137647,0.1679934793595859,0.026221636521457235,4.119343216599505,0.08519362372537756,0.3047488933465974,False
2382.TW,4938.TW,0.07560878565124095,3.8322879286575553,0.12570140629360538,0.1711659137114583,0.45110886691357216,0.5450194658850359,False
2382.TW,4958.TW,2.4099300428877163e-06,0.1914304484952632,0.00010459346414015477,3.9168236810676538,0.0038462483484487955,0.02384730982395529,True
2382.TW,5274.TWO,0.010073727078695704,0.005771906381420739,0.05381186688694239,115.09489562161261,0.19624455989448766,0.4041587743602825,False
2382.TW,6139.TW,0.003634478840169993,0.14290638932123884,0.03991489469221065,3.9158839229783684,0.11718440866487494,0.35391206627093447,False
2382.TW,6223.TWO,0.000608709208785321,0.014753884396485614,0.007019155196312467,46.03342873487516,0.048574994861068616,0.1659640250861437,False
2382.TW,6239.TW,0.06298596622399144,0.3618952929727727,0.08262315199215858,1.6141915710337238,0.43051649718839546,0.4692759807099114,False
2382.TW,6274.TWO,0.00014048616228902748,0.05980915195354583,0.0024487935871301625,12.799340068563923,0.02413539962159338,0.09089010616417999,False
2382.TW,6415.TW,0.00207486247750897,0.18840318495363845,0.36026511668774275,2.88311750660423,0.0838349497241599,0.6967752562945214,False
2382.TW,6488.TWO,3.4871410378777454e-05,0.14725407447392846,0.015939098583876793,5.208766716000941,0.014551405897622664,0.24343350564466373,False
2382.TW,6515.TW,0.18766274738969957,0.007026101214813799,0.28094409457466285,77.58724193183193,0.5854110184833432,0.6351087463755835,False
2382.TW,6669.TW,0.2171618673389587,0.025373754092058103,0.12441626670232026,17.59298774528612,0.6029806254311113,0.5450194658850359,False
2382.TW,6770.TW,0.15067528419753567,0.8990184353284449,0.4100598941739261,0.4532846475240416,0.5668107069759519,0.7218440953704399,False
2382.TW,8046.TW,0.0006841321184160236,0.09143391534926995,0.08406596717171061,7.337367819088706,0.04940129872537767,0.4732602596333338,False
2382.TW,8069.TWO,0.8164095553248694,-0.1555877250684675,0.48029720438057305,-0.18147360681207172,0.920840742260418,0.7524995405581755,False
2382.TW,8299.TWO,0.1081657822492883,0.029230973929086825,0.23474855042929305,15.63511515268262,0.5115039658366345,0.6093136992901628,False
2383.TW,2395.TW,0.23436111108086122,19.73543384280938,0.16023014114113526,0.03679365938172152,0.6093136992901628,0.5668107069759519,False
2383.TW,2404.TW,0.47673501820052416,5.992395320105851,0.08635670760520858,0.06276431701909306,0.7516431731688717,0.47743632374033007,False
2383.TW,2408.TW,0.33658295267437477,10.76386528627901,0.35388613546023073,0.06312622886121198,0.6806602835638146,0.6913160853683338,False
2383.TW,2449.TW,0.9432730081519601,16.31926988826729,0.35483620165347707,0.035074592014009184,0.9856263375850706,0.6919520226824464,False
2383.TW,2454.TW,0.07103562881090805,1.3637113388489188,0.0164265723364525,0.6222364797591352,0.4454729413839263,0.24501691073811396,False
2383.TW,2492.TW,0.06444178049491399,10.416073242990745,0.009314247670688884,0.06083194583178628,0.4340567168941026,0.18830862439467722,False
2383.TW,3008.TW,0.2846666498632375,1.7682444730192757,0.2898239060681598,0.357316176323533,0.6373544054500663,0.6407954457572705,False
2383.TW,3017.TW,0.6279409962844554,2.264141700282785,0.3379497831629532,0.39336551049626045,0.8121700161704167,0.6810200175859512,False
2383.TW,3034.TW,0.7227228303308564,12.22989442779934,0.2380774311708888,0.011959385498315774,0.8672161966088122,0.6148380614650159,False
2383.TW,3036.TW,0.06781843647402781,26.473299074897348,0.009124745159730063,0.030538714022072727,0.441742279505399,0.18830862439467722,False
2383.TW,3037.TW,0.06877890526624725,4.824837645853808,0.06267861698227814,0.2033677717368465,0.44224342744511946,0.43036502479239186,False
2383.TW,3044.TW,0.011586741034657103,17.784397239521898,0.0009138575229452369,0.05107130766180895,0.2089662410412493,0.05719672967139601,False
2383.TW,3081.TWO,0.990361587372246,1.7434518829180647,0.9602209121705692,0.5275347386294602,0.9967295800266528,0.9895682492838545,False
2383.TW,3105.TWO,0.9367889576435247,8.446764093820882,0.7545848446064745,0.10825551206456913,0.9826586765685609,0.8866362833813781,False
2383.TW,3189.TW,0.02146218355353088,7.1387973675563146,0.03353856204158603,0.1341351818854819,0.27722684850309115,0.3387829266712026,False
2383.TW,3231.TW,0.8437659084050051,55.525753422930606,0.12454070320640409,0.005207557643297795,0.9351738818155474,0.5450194658850359,False
2383.TW,3443.TW,0.19203992000335113,1.1256068875079117,0.1182721054797336,0.8135470662247601,0.5865946647375089,0.5364419273925337,False
2383.TW,3481.TW,0.23702719040141002,96.87002942787785,0.22931724515644375,0.008213938227591297,0.6131205767919778,0.6063346118644085,False
2383.TW,3533.TW,0.892927076956433,2.8577800330185683,0.6267497792798156,0.2957656154571963,0.96038288042902,0.8120748449467547,False
2383.TW,3653.TW,0.9128190919352497,1.2244453697906363,0.6078143103268956,0.5267893364575773,0.9680128044708693,0.7998186460409389,False
2383.TW,3661.TW,0.8452007086007609,1.7083273804967818,0.11009075321761402,0.2119427181014677,0.9359989990712727,0.5160200943768339,False
2383.TW,3665.TW,0.8856029433684995,2.4418357625232474,0.5558424940321266,0.31177063983087194,0.9553378152187396,0.7777285183266024,False
2383.TW,3711.TW,0.4645446908812266,9.517934937071281,0.460008806202701,0.10058472300916504,0.7481466464646193,0.7459322996625399,False
2383.TW,4938.TW,0.1676123015653293,160.68061083611877,0.006548195607100616,0.00309297468222752,0.5699821811675664,0.1632862485725944,False
2383.TW,4958.TW,0.4623094908250089,10.104371169104553,0.5567550089437981,0.08910170929649719,0.7468392019483673,0.7777285183266024,False
2383.TW,5274.TWO,0.8011023557087339,0.3362593071974762,0.6991235762165151,2.8897803813283325,0.9117665309039532,0.8562183604706857,False
2383.TW,6139.TW,0.47388866167219934,8.267592158023254,0.3811678502144417,0.0976362177558682,0.7516431731688717,0.7052454256180722,False
2383.TW,6223.TWO,0.012402488098962718,0.8474672369134111,0.00792691057908121,1.1395768140928766,0.2175205605048846,0.17818801808751566,False
2383.TW,6239.TW,0.5001798749962678,18.778866149374323,0.03429657159372712,0.036099006247541685,0.7589318290757685,0.3396173230894244,False
2383.TW,6274.TWO,0.2927698136545865,3.198715135541126,0.26444955804873915,0.2950184917056904,0.6436096729927273,0.6299425293220712,False
2383.TW,6415.TW,0.26852412283831517,10.045927950860577,0.41619286396360233,0.06625488453414875,0.6301123004126558,0.7251569987837437,False
2383.TW,6488.TWO,0.2432892340014628,7.12385362593213,0.21946358406444721,0.10860162250218172,0.6178447528508428,0.603314327504752,False
2383.TW,6515.TW,0.6920051119073866,0.43374871501568946,0.5095506418092938,2.0642764249431083,0.853178956048041,0.7636082857536459,False
2383.TW,6669.TW,0.8841435677428134,1.3246698863776043,0.26364940259586556,0.3958368998630874,0.9549051820104241,0.6291671575391475,False
2383.TW,6770.TW,0.7100986294654023,53.226553611579206,0.5283623261414041,0.011566034907550865,0.8597999354534928,0.7684830285243445,False
2383.TW,8046.TW,0.14738609681949016,5.273787556055636,0.11704718110402551,0.18239349436977503,0.5638729948376409,0.5358428188946288,False
2383.TW,8069.TWO,0.988800677227028,-14.187009893950037,0.6132729873198014,-0.007131530619649054,0.9965334775141048,0.8023939543613954,False
2383.TW,8299.TWO,0.8001223353602505,1.747616522731469,0.4685517142203685,0.40286327606417766,0.9117665309039532,0.749786863292147,False
2395.TW,2404.TW,0.24700932768681166,0.2528554893658586,0.06393665685708882,1.420556239141524,0.6198310750871392,0.433329409859038,False
2395.TW,2408.TW,0.6464141121760829,0.3317284495013055,0.782911913640431,1.043513338979684,0.8249473683663742,0.9004874188875165,False
2395.TW,2449.TW,0.8658499756209301,0.3867741295476057,0.31814770388844993,0.44588515650837934,0.946180459494012,0.6663566081443124,False
2395.TW,2454.TW,0.15302002972593276,0.059703890753108654,0.175059295520122,14.61198930235292,0.5668107069759519,0.5742952428573787,False
2395.TW,2492.TW,0.28804786155980355,0.4508189076986703,0.4160951563068834,1.4122237149243444,0.639568127326856,0.7251569987837437,False
2395.TW,3008.TW,0.042619587275129586,0.08080165257351299,0.21856316263719505,8.757987200300489,0.36277792688590305,0.603314327504752,False
2395.TW,3017.TW,0.5947808593514131,0.07131517471875204,0.2834339693162289,6.645816116599437,0.7916406808892713,0.6371276268009878,False
2395.TW,3034.TW,0.19987290712599315,0.9909280209507674,0.05980477831963058,0.5197589312619836,0.5928749277079787,0.42327461728660937,False
2395.TW,3036.TW,0.8492353556666725,0.9910383641065904,0.5282368093801313,0.6132066277665432,0.9383036536130214,0.7684830285243445,False
2395.TW,3037.TW,0.25480353058921185,0.1775461096695823,0.28988365403305094,4.0140638939272355,0.6263309376480133,0.6407954457572705,False
2395.TW,3044.TW,0.08199108347983802,0.6560024276496061,0.02405183321175453,1.0104549796409066,0.46818522087234876,0.2940129004958609,False
2395.TW,3081.TWO,0.6287767512716709,0.06115250413972327,0.4390827926041696,9.924966230430496,0.8125730324126208,0.7322634660357938,False
2395.TW,3105.TWO,0.7060804024153681,0.2756010907101002,0.29514460286555816,1.8945858084576601,0.8590384243714643,0.6449348154523801,False
2395.TW,3189.TW,0.18973103691842869,0.27016453501517346,0.41135163204224007,2.722824688742791,0.5854110184833432,0.7218440953704399,False
2395.TW,3231.TW,0.8427132185458399,1.8326693082433454,0.18457996407355587,0.09219288952101239,0.9351738818155474,0.5837457490770517,False
2395.TW,3443.TW,0.4793478698127377,0.03990572188127064,0.30579828693974087,15.470516283362858,0.7524995405581755,0.6561941860011535,False
2395.TW,3481.TW,0.39310676652393306,3.916027371380439,0.8432532334801308,0.17810717440990143,0.713358043629559,0.9351738818155474,False
2395.TW,3533.TW,0.5849322998868102,0.10731181701070522,0.3332430185772924,5.95717184812747,0.7909837517549271,0.6792539689008412,False
2395.TW,3653.TW,0.745384740162307,0.02982402797207121,0.10246160795677478,6.882362669379855,0.8818064643051443,0.5019085811928344,False
2395.TW,3661.TW,0.2945497743525552,0.09332299406317762,0.02770471448065554,6.210259618707407,0.6449348154523801,0.3117067007615834,False
2395.TW,3665.TW,0.5561457228824984,0.0701486598561945,0.44152132142065786,4.804097768042562,0.7777285183266024,0.733706752619209,False
2395.TW,3711.TW,0.36765446822355374,0.3345621679745197,0.43272687828423695,1.8964430991423396,0.7018447570317302,0.7306457763094493,False
2395.TW,4938.TW,0.07369708628432996,7.776358463236269,0.014126826217563056,0.08029025869738084,0.4464041616089124,0.22791115343054688,False
2395.TW,4958.TW,0.036220643372008594,0.41970242446895745,0.07299498326885799,1.985143549119348,0.34399657865144706,0.4464041616089124,False
2395.TW,5274.TWO,0.4850682027424403,0.011843573654963153,0.3734703811482981,54.594260049359065,0.7549953060504379,0.7037836288850602,False
2395.TW,6139.TW,0.43740232979084115,0.25688124065867607,0.5899621617094339,1.6271889527863093,0.7322634660357938,0.7916099866389914,False
2395.TW,6223.TWO,0.22162888030198247,0.029921464818414095,0.3498767125613875,21.581281632207823,0.603314327504752,0.6878431787251259,False
2395.TW,6239.TW,0.5911621387757183,0.6651350233010926,0.44211959094484976,0.6858188080588923,0.7916099866389914,0.733706752619209,False
2395.TW,6274.TWO,0.2542367031073423,0.12669901718496893,0.164209285942014,6.267879136965725,0.6263309376480133,0.5669379485449833,False
2395.TW,6415.TW,0.0007959468069321693,0.4985519489270791,0.1272391811384153,1.7636481820956442,0.052992236736064506,0.5450194658850359,False
2395.TW,6488.TWO,0.0698835871557071,0.3018887258713183,0.025438963762076765,2.4685499252386975,0.44224342744511946,0.30379041395382567,False
2395.TW,6515.TW,0.6060793537945128,0.013944336429274248,0.4448157329098931,35.59600000598038,0.7993223266517591,0.7349129500250409,False
2395.TW,6669.TW,0.7904822277513838,0.041818329611515895,0.22490834322308817,6.702687762918593,0.9050284329205226,0.603314327504752,False
2395.TW,6770.TW,0.7824393712129651,1.5296162372875008,0.5797453561152017,0.17828398440738877,0.9004874188875165,0.7901567791288316,False
2395.TW,8046.TW,0.22197066708808505,0.18488850888384978,0.2285101666092228,3.429812090412536,0.603314327504752,0.6058176510104977,False
2395.TW,8069.TWO,0.9427353767900939,0.22489728969331735,0.47292750894159796,0.06063868792187886,0.9856263375850706,0.7516431731688717,False
2395.TW,8299.TWO,0.7803497478692194,0.053498138542539354,0.49731671919238535,6.61490944775592,0.9004874188875165,0.7589318290757685,False
2404.TW,2408.TW,0.0832182513252559,0.7789576120015687,0.471926725695756,0.43615722014601355,0.47087473305096794,0.7516431731688717,False
2404.TW,2449.TW,0.35536661632854805,1.1165729217765221,0.5440095940928817,0.2291219218777602,0.6925093036146064,0.7768053499858808,False
2404.TW,2454.TW,0.07319581790420346,0.10130925510204225,0.3360772962879061,4.413364407718522,0.4464041616089124,0.6806602835638146,False
2404.TW,2492.TW,0.02635046822169827,0.8818941481446532,0.5169797934813783,0.49173576097514227,0.3047488933465974,0.7650806630521041,False
2404.TW,3008.TW,0.010082740545957385,0.15844761304384,0.576189958031993,3.056917502753835,0.19624455989448766,0.788678608796208,False
2404.TW,3017.TW,0.30191051033835353,0.12342027695091051,0.47782198967190354,2.047230962079623,0.652848268675402,0.7517041848362327,False
2404.TW,3034.TW,0.16065722181359693,0.6641456762101501,0.27537269489694405,0.06200649107758376,0.5668107069759519,0.6337345164348842,False
2404.TW,3036.TW,0.27936330620822497,1.4362936186265767,0.5522615440031439,0.1581880086034228,0.6348475462705305,0.7774851657583627,False
2404.TW,3037.TW,0.10199843133089098,0.30125480087813244,0.528282437310236,1.2123305565806701,0.5019085811928344,0.7684830285243445,False
2404.TW,3044.TW,0.09002638942643082,1.316525691641445,0.23419482975813943,0.36095645694875245,0.4837781734834464,0.6093136992901628,False
2404.TW,3081.TWO,0.3188195115630563,0.09734750173865997,0.6351884680830397,2.812247614677797,0.6668158819723176,0.8163515943564432,False
2404.TW,3105.TWO,0.2605936969559438,0.48376288139435064,0.599495112624809,0.5919429393656783,0.628410955408749,0.7946795678980026,False
